contrast,reference,treatment,profile,n_scenarios,question,ref_mean_weighted_service_hours_lost,trt_mean_weighted_service_hours_lost,diff_weighted_service_hours_lost,diff_weighted_service_hours_lost_lo,diff_weighted_service_hours_lost_hi,ref_mean_sustained_clinical_outage_k4,trt_mean_sustained_clinical_outage_k4,diff_sustained_clinical_outage_k4,diff_sustained_clinical_outage_k4_lo,diff_sustained_clinical_outage_k4_hi,ref_mean_sustained_clinical_outage_k1,trt_mean_sustained_clinical_outage_k1,diff_sustained_clinical_outage_k1,diff_sustained_clinical_outage_k1_lo,diff_sustained_clinical_outage_k1_hi,ref_mean_ever_compromised_fraction,trt_mean_ever_compromised_fraction,diff_ever_compromised_fraction,diff_ever_compromised_fraction_lo,diff_ever_compromised_fraction_hi,share_worse,share_better
method_s1_off,none_ungated,dcci3_ungated,pooled,1500,The method with restoration not gated on containment.,218.2588388888889,113.77962777777776,-104.47921111111113,-109.52832194444444,-99.67074680555555,0.6013333333333334,0.332,-0.2693333333333333,-0.28733333333333333,-0.25266666666666665,0.674,0.48,-0.194,-0.21133333333333335,-0.17733333333333334,0.5552920171120859,0.22247159360367608,-0.33282042350840985,-0.34433564335483696,-0.32129003668549194,0.029333333333333333,0.6353333333333333
method_s1_off,none_ungated,dcci3_ungated,high_capacity,500,The method with restoration not gated on containment.,16.332066666666666,14.436883333333332,-1.8951833333333332,-2.7188304166666666,-1.1814237500000002,0.044,0.002,-0.042,-0.06,-0.026,0.226,0.18,-0.046,-0.06405,-0.028,0.01770923152069203,0.008317303947717793,-0.009391927572974234,-0.012210447548476387,-0.006904530963951313,0.046,0.194
method_s1_off,none_ungated,dcci3_ungated,intermediate_capacity,500,The method with restoration not gated on containment.,276.2868666666667,20.403899999999997,-255.88296666666668,-266.93992541666665,-244.33925416666668,0.794,0.124,-0.67,-0.712,-0.63,0.826,0.346,-0.48,-0.524,-0.438,0.6934431679571434,0.050783022221886846,-0.6426601457352568,-0.6705436158709958,-0.6133580082490742,0.01,0.814
method_s1_off,none_ungated,dcci3_ungated,resource_constrained,500,The method with restoration not gated on containment.,362.1575833333333,306.49809999999997,-55.65948333333333,-64.90933958333333,-46.919894166666666,0.966,0.87,-0.096,-0.122,-0.072,0.97,0.914,-0.056,-0.076,-0.038,0.9547236518584221,0.6083144546414235,-0.34640919721699875,-0.36392910240786636,-0.32998622754028284,0.032,0.898
method_vs_prior_art_s1_off,zone_ungated,dcci3_ungated,pooled,1500,Method vs prior art with S1 off.,214.24225555555554,113.77962777777776,-100.46262777777777,-105.3983475,-95.51229444444442,0.592,0.332,-0.26,-0.2773333333333333,-0.24266666666666667,0.668,0.48,-0.188,-0.20533333333333334,-0.17131666666666676,0.5121018113159442,0.22247159360367608,-0.28963021771226827,-0.3006528252447187,-0.27860098744969514,0.043333333333333335,0.62
method_vs_prior_art_s1_off,zone_ungated,dcci3_ungated,high_capacity,500,Method vs prior art with S1 off.,16.332066666666666,14.436883333333332,-1.8951833333333332,-2.771687916666666,-1.19785,0.044,0.002,-0.042,-0.06004999999999999,-0.026,0.226,0.18,-0.046,-0.064,-0.03,0.01770923152069203,0.008317303947717793,-0.009391927572974234,-0.012245864717073061,-0.006980149731744661,0.046,0.194
method_vs_prior_art_s1_off,zone_ungated,dcci3_ungated,intermediate_capacity,500,Method vs prior art with S1 off.,267.60563333333334,20.403899999999997,-247.2017333333333,-258.9304458333333,-235.14427374999997,0.772,0.124,-0.648,-0.688,-0.606,0.814,0.346,-0.468,-0.51,-0.422,0.6077604180425171,0.050783022221886846,-0.5569773958206303,-0.5853536640589312,-0.5271803823838837,0.01,0.804
method_vs_prior_art_s1_off,zone_ungated,dcci3_ungated,resource_constrained,500,Method vs prior art with S1 off.,358.78906666666666,306.49809999999997,-52.29096666666666,-61.17494125,-43.652924166666665,0.96,0.87,-0.09,-0.11405,-0.066,0.964,0.914,-0.05,-0.07,-0.032,0.9108357843846236,0.6083144546414235,-0.3025213297432001,-0.3191110469406202,-0.2861908225113688,0.074,0.862
two_islands_theta45,none_theta45,dcci2_theta45,pooled,1500,Two islands at theta = 0.45.,170.22101666666666,93.78793888888889,-76.43307777777778,-80.26763263888888,-72.55077472222222,0.6013333333333334,0.344,-0.25733333333333336,-0.27468333333333333,-0.24065000000000009,0.6713333333333333,0.506,-0.16533333333333333,-0.182,-0.1486500000000001,0.5110618106968812,0.2652050362218644,-0.24585677447501675,-0.2555467761678584,-0.23618406986335286,0.024,0.638
two_islands_theta45,none_theta45,dcci2_theta45,high_capacity,500,Two islands at theta = 0.45.,15.676849999999998,14.508916666666666,-1.1679333333333335,-1.5319220833333331,-0.8533329166666668,0.052,0.002,-0.05,-0.07,-0.032,0.228,0.184,-0.044,-0.062,-0.026,0.014252164809952677,0.008667787641396562,-0.005584377168556115,-0.0069737322265625845,-0.004388989009365575,0.024,0.182
two_islands_theta45,none_theta45,dcci2_theta45,intermediate_capacity,500,Two islands at theta = 0.45.,173.49003333333332,27.969416666666664,-145.52061666666663,-153.11996166666663,-137.68254083333332,0.786,0.162,-0.624,-0.666,-0.5839500000000002,0.816,0.418,-0.398,-0.44,-0.358,0.5747202750314259,0.07844617662979965,-0.49627409840162623,-0.5216512412782853,-0.47150444649837764,0.004,0.808
two_islands_theta45,none_theta45,dcci2_theta45,resource_constrained,500,Two islands at theta = 0.45.,321.4961666666666,238.88548333333333,-82.61068333333334,-90.15902833333334,-75.10637000000001,0.966,0.868,-0.098,-0.124,-0.072,0.97,0.916,-0.054,-0.074,-0.036,0.9442129922492647,0.708501144394397,-0.23571184785486776,-0.2499802691093202,-0.22135530617511176,0.044,0.924
three_islands_theta45,none_theta45,dcci3_theta45,pooled,1500,Three islands at theta = 0.45.,170.22101666666666,77.99194999999999,-92.22906666666665,-95.8507572222222,-88.44835333333333,0.6013333333333334,0.31333333333333335,-0.288,-0.306,-0.27,0.6713333333333333,0.454,-0.21733333333333332,-0.23468333333333333,-0.2,0.5110618106968812,0.1853557895417488,-0.3257060211551323,-0.33584344799150917,-0.3152026807145439,0.006666666666666667,0.654
three_islands_theta45,none_theta45,dcci3_theta45,high_capacity,500,Three islands at theta = 0.45.,15.676849999999998,14.451600000000001,-1.22525,-1.5860695833333334,-0.8841562500000002,0.052,0.002,-0.05,-0.07,-0.032,0.228,0.182,-0.046,-0.064,-0.03,0.014252164809952677,0.008292796835083386,-0.005959367974869293,-0.0074465225743999075,-0.0046595104008127245,0.01,0.188
three_islands_theta45,none_theta45,dcci3_theta45,intermediate_capacity,500,Three islands at theta = 0.45.,173.49003333333332,18.387733333333333,-155.10229999999999,-163.40702583333334,-146.76983583333333,0.786,0.12,-0.666,-0.706,-0.626,0.816,0.302,-0.514,-0.558,-0.47,0.5747202750314259,0.04210027012138409,-0.5326200049100419,-0.5591180985429831,-0.5051335210209875,0.004,0.812
three_islands_theta45,none_theta45,dcci3_theta45,resource_constrained,500,Three islands at theta = 0.45.,321.4961666666666,201.13651666666667,-120.35964999999999,-128.16206416666665,-112.4492,0.966,0.818,-0.148,-0.178,-0.118,0.97,0.878,-0.092,-0.116,-0.066,0.9442129922492647,0.5056743016687789,-0.43853869058048595,-0.456052270521754,-0.42065712041306447,0.006,0.962
