profile,price_region,radius,draw,guaranteed,original_retained
resource_constrained,monotone,0.1,54,40,38
resource_constrained,monotone,0.25,54,29,28
resource_constrained,monotone,0.5,54,16,16
resource_constrained,monotone,0.75,54,14,14
resource_constrained,positive_gaps,0,54,41,39
resource_constrained,positive_gaps,0.1,54,40,38
resource_constrained,positive_gaps,0.25,54,31,30
resource_constrained,positive_gaps,0.5,54,17,17
resource_constrained,positive_gaps,0.75,54,14,14
resource_constrained,monotone,0,55,41,37
resource_constrained,monotone,0.1,55,39,36
resource_constrained,monotone,0.25,55,29,28
resource_constrained,monotone,0.5,55,15,15
resource_constrained,monotone,0.75,55,12,12
resource_constrained,positive_gaps,0,55,41,37
resource_constrained,positive_gaps,0.1,55,40,36
resource_constrained,positive_gaps,0.25,55,32,30
resource_constrained,positive_gaps,0.5,55,16,16
resource_constrained,positive_gaps,0.75,55,12,12
resource_constrained,monotone,0,56,39,35
resource_constrained,monotone,0.1,56,39,35
resource_constrained,monotone,0.25,56,26,26
resource_constrained,monotone,0.5,56,15,15
resource_constrained,monotone,0.75,56,13,13
resource_constrained,positive_gaps,0,56,39,35
resource_constrained,positive_gaps,0.1,56,39,35
resource_constrained,positive_gaps,0.25,56,30,30
resource_constrained,positive_gaps,0.5,56,17,17
resource_constrained,positive_gaps,0.75,56,13,13
resource_constrained,monotone,0,57,43,37
resource_constrained,monotone,0.1,57,42,36
resource_constrained,monotone,0.25,57,30,28
resource_constrained,monotone,0.5,57,12,12
resource_constrained,monotone,0.75,57,10,10
resource_constrained,positive_gaps,0,57,43,37
resource_constrained,positive_gaps,0.1,57,42,36
resource_constrained,positive_gaps,0.25,57,32,29
resource_constrained,positive_gaps,0.5,57,13,12
resource_constrained,positive_gaps,0.75,57,11,10
resource_constrained,monotone,0,58,46,40
resource_constrained,monotone,0.1,58,42,38
resource_constrained,monotone,0.25,58,35,32
resource_constrained,monotone,0.5,58,17,16
resource_constrained,monotone,0.75,58,16,15
resource_constrained,positive_gaps,0,58,46,40
resource_constrained,positive_gaps,0.1,58,43,38
resource_constrained,positive_gaps,0.25,58,36,33
resource_constrained,positive_gaps,0.5,58,17,16
resource_constrained,positive_gaps,0.75,58,16,15
resource_constrained,monotone,0,59,41,36
resource_constrained,monotone,0.1,59,39,35
resource_constrained,monotone,0.25,59,29,28
resource_constrained,monotone,0.5,59,15,15
resource_constrained,monotone,0.75,59,13,13
resource_constrained,positive_gaps,0,59,41,36
resource_constrained,positive_gaps,0.1,59,39,35
resource_constrained,positive_gaps,0.25,59,29,28
resource_constrained,positive_gaps,0.5,59,17,17
resource_constrained,positive_gaps,0.75,59,14,14
resource_constrained,monotone,0,60,51,40
resource_constrained,monotone,0.1,60,50,39
resource_constrained,monotone,0.25,60,36,32
resource_constrained,monotone,0.5,60,16,16
resource_constrained,monotone,0.75,60,15,15
resource_constrained,positive_gaps,0,60,51,40
resource_constrained,positive_gaps,0.1,60,50,39
resource_constrained,positive_gaps,0.25,60,39,34
resource_constrained,positive_gaps,0.5,60,16,16
resource_constrained,positive_gaps,0.75,60,15,15
resource_constrained,monotone,0,61,37,34
resource_constrained,monotone,0.1,61,36,33
resource_constrained,monotone,0.25,61,26,25
resource_constrained,monotone,0.5,61,11,11
resource_constrained,monotone,0.75,61,9,9
resource_constrained,positive_gaps,0,61,37,34
resource_constrained,positive_gaps,0.1,61,36,33
resource_constrained,positive_gaps,0.25,61,27,26
resource_constrained,positive_gaps,0.5,61,12,12
resource_constrained,positive_gaps,0.75,61,9,9
resource_constrained,monotone,0,62,40,36
resource_constrained,monotone,0.1,62,38,34
resource_constrained,monotone,0.25,62,31,29
resource_constrained,monotone,0.5,62,12,12
resource_constrained,monotone,0.75,62,9,9
resource_constrained,positive_gaps,0,62,40,36
resource_constrained,positive_gaps,0.1,62,38,34
resource_constrained,positive_gaps,0.25,62,32,30
resource_constrained,positive_gaps,0.5,62,12,12
resource_constrained,positive_gaps,0.75,62,9,9
