profile,draw,frontier_size,added,removed,jaccard,affordable_candidates,best_affordable_mean_hours_lost
high_capacity,61,10,1,0,0.9,16,13.06720833
resource_constrained,62,104,42,2,0.5849056604,26,156.9935625
intermediate_capacity,62,34,14,2,0.5555555556,49,24.33625
high_capacity,62,10,1,0,0.9,16,13.06720833
resource_constrained,63,81,17,0,0.7901234568,15,156.9935625
intermediate_capacity,63,30,8,0,0.7333333333,53,21.58458333
high_capacity,63,11,2,0,0.8181818182,16,13.06720833
resource_constrained,64,74,10,0,0.8648648649,9,207.6623542
intermediate_capacity,64,25,3,0,0.88,37,27.79154167
high_capacity,64,9,0,0,1,15,13.08197917
resource_constrained,65,78,16,2,0.775,10,207.5997292
intermediate_capacity,65,24,3,1,0.84,35,27.79154167
high_capacity,65,11,2,0,0.8181818182,15,13.08197917
resource_constrained,66,114,50,0,0.5614035088,32,155.6040833
intermediate_capacity,66,33,11,0,0.6666666667,72,24.33625
high_capacity,66,9,0,0,1,16,13.06720833
resource_constrained,67,82,23,5,0.6781609195,24,156.9935625
intermediate_capacity,67,32,12,2,0.5882352941,40,25.49491667
high_capacity,67,9,1,1,0.8,16,13.06720833
resource_constrained,68,76,17,5,0.7283950617,14,156.9935625
intermediate_capacity,68,29,9,2,0.6451612903,38,26.9125
high_capacity,68,10,2,1,0.7272727273,15,13.08197917
resource_constrained,69,68,10,6,0.7837837838,12,207.5997292
intermediate_capacity,69,24,3,1,0.84,38,25.49491667
high_capacity,69,12,3,0,0.75,15,13.08197917
resource_constrained,70,87,26,3,0.6777777778,32,207.5997292
intermediate_capacity,70,33,11,0,0.6666666667,52,21.58458333
high_capacity,70,14,5,0,0.6428571429,16,13.06720833
resource_constrained,71,86,22,0,0.7441860465,22,156.9935625
intermediate_capacity,71,30,8,0,0.7333333333,72,21.05622917
high_capacity,71,9,0,0,1,16,13.06720833
resource_constrained,72,101,41,4,0.5714285714,23,207.5997292
intermediate_capacity,72,37,15,0,0.5945945946,35,34.79958333
high_capacity,72,12,3,0,0.75,15,13.08197917
resource_constrained,73,59,9,14,0.6849315068,30,156.9935625
intermediate_capacity,73,22,2,2,0.8333333333,75,19.73402083
high_capacity,73,10,1,0,0.9,16,13.06720833
resource_constrained,74,93,31,2,0.6526315789,24,155.6040833
intermediate_capacity,74,31,11,2,0.6060606061,49,24.33625
high_capacity,74,9,0,0,1,16,13.06720833
resource_constrained,75,93,29,0,0.688172043,24,156.9935625
intermediate_capacity,75,30,10,2,0.625,51,24.5055625
high_capacity,75,12,3,0,0.75,16,13.06720833
resource_constrained,76,98,38,4,0.5882352941,32,156.9935625
intermediate_capacity,76,37,17,2,0.5128205128,54,24.93072917
high_capacity,76,9,1,1,0.8,16,13.06720833
resource_constrained,77,74,18,8,0.6829268293,13,207.5997292
intermediate_capacity,77,27,5,0,0.8148148148,30,33.0049375
high_capacity,77,9,0,0,1,14,13.11922917
resource_constrained,78,78,16,2,0.775,18,205.5636667
intermediate_capacity,78,27,6,1,0.75,53,21.58458333
high_capacity,78,12,3,0,0.75,16,13.06720833
resource_constrained,79,75,15,4,0.7594936709,28,156.9935625
intermediate_capacity,79,23,3,2,0.8,59,20.11314583
high_capacity,79,10,1,0,0.9,16,13.06720833
resource_constrained,80,82,20,2,0.7380952381,27,156.9935625
intermediate_capacity,80,26,5,1,0.7777777778,83,20.11314583
high_capacity,80,9,0,0,1,16,13.06720833
resource_constrained,81,99,36,1,0.63,24,207.6623542
intermediate_capacity,81,34,13,1,0.6,63,20.11314583
high_capacity,81,15,6,0,0.6,16,13.06720833
resource_constrained,82,94,30,0,0.6808510638,15,207.6623542
intermediate_capacity,82,28,7,1,0.724137931,52,25.49491667
high_capacity,82,11,2,0,0.8181818182,16,13.06720833
resource_constrained,83,66,5,3,0.884057971,10,207.6623542
intermediate_capacity,83,23,1,0,0.9565217391,36,25.49491667
high_capacity,83,9,0,0,1,14,13.11922917
resource_constrained,84,68,13,9,0.7142857143,19,156.9935625
intermediate_capacity,84,25,5,2,0.7407407407,37,27.79154167
high_capacity,84,7,0,2,0.7777777778,16,13.06720833
resource_constrained,85,80,16,0,0.8,27,156.9935625
intermediate_capacity,85,28,6,0,0.7857142857,83,19.73402083
high_capacity,85,11,2,0,0.8181818182,16,13.06720833
resource_constrained,86,100,36,0,0.64,19,207.5997292
intermediate_capacity,86,29,8,1,0.7,48,27.79154167
high_capacity,86,12,3,0,0.75,16,13.06720833
resource_constrained,87,75,14,3,0.7820512821,12,207.6623542
intermediate_capacity,87,29,8,1,0.7,37,24.5055625
high_capacity,87,11,2,0,0.8181818182,14,13.11922917
resource_constrained,88,66,10,8,0.7567567568,27,156.9935625
intermediate_capacity,88,21,4,5,0.6538461538,75,21.05622917
high_capacity,88,8,2,3,0.5454545455,16,13.06720833
resource_constrained,89,111,47,0,0.5765765766,15,207.6623542
intermediate_capacity,89,42,20,0,0.5238095238,46,24.33625
high_capacity,89,12,3,0,0.75,14,13.11922917
