portfolio,attacker,trial,weighted_service_hours_lost,catastrophic,identity_compromised,total_compromised
patch_90,naive,31,197.15,1,1,187
patch_90,adaptive,31,190.75000000000003,1,1,243
patch_90,naive,32,0.5,0,0,1
patch_90,adaptive,32,242.975,1,1,243
patch_90,naive,33,194.62499999999997,1,1,194
patch_90,adaptive,33,170.425,1,1,256
patch_90,naive,34,226.125,1,1,185
patch_90,adaptive,34,183.35000000000002,1,1,235
patch_90,naive,35,9.4,0,0,1
patch_90,adaptive,35,225.65,1,1,292
patch_90,naive,36,230.5,1,1,202
patch_90,adaptive,36,250.425,1,1,251
patch_90,naive,37,210.15,1,1,192
patch_90,adaptive,37,202.0,1,1,258
patch_90,naive,38,233.57500000000002,1,1,184
patch_90,adaptive,38,241.825,1,1,281
patch_90,naive,39,157.025,1,1,161
patch_90,adaptive,39,186.32500000000002,1,1,204
patch_90,naive,40,9.4,0,0,1
patch_90,adaptive,40,9.4,0,0,1
patch_90,naive,41,151.20000000000002,1,1,191
patch_90,adaptive,41,233.05,1,1,271
patch_90,naive,42,234.025,1,1,193
patch_90,adaptive,42,153.375,1,1,237
patch_90,naive,43,2.0,0,0,3
patch_90,adaptive,43,155.325,1,1,208
patch_90,naive,44,159.625,1,1,193
patch_90,adaptive,44,217.54999999999998,1,1,258
patch_90,naive,45,195.475,1,1,183
patch_90,adaptive,45,217.15,1,1,255
patch_90,naive,46,222.90000000000003,1,1,188
patch_90,adaptive,46,185.875,1,1,250
patch_90,naive,47,249.62500000000003,1,1,201
patch_90,adaptive,47,221.25,1,1,269
patch_90,naive,48,175.625,1,1,203
patch_90,adaptive,48,188.85,1,1,260
patch_90,naive,49,188.39999999999998,1,1,211
patch_90,adaptive,49,229.72500000000002,1,1,275
patch_90,naive,50,0.0,0,0,5
patch_90,adaptive,50,177.52500000000003,1,1,278
patch_90,naive,51,197.15,1,1,196
patch_90,adaptive,51,165.2,1,1,291
patch_90,naive,52,171.4,1,1,155
patch_90,adaptive,52,200.625,1,1,202
patch_90,naive,53,183.25,1,1,202
patch_90,adaptive,53,245.40000000000003,1,1,263
patch_90,naive,54,207.75,1,1,165
patch_90,adaptive,54,158.675,1,1,228
patch_90,naive,55,10.6,0,0,2
patch_90,adaptive,55,198.425,1,1,254
patch_90,naive,56,9.4,0,0,2
patch_90,adaptive,56,189.00000000000003,1,1,268
patch_90,naive,57,2.0,0,0,4
patch_90,adaptive,57,193.775,1,1,271
patch_90,naive,58,202.225,1,1,191
patch_90,adaptive,58,181.54999999999998,1,1,227
patch_90,naive,59,206.99999999999997,1,1,157
patch_90,adaptive,59,249.5,1,1,208
fast_detection,naive,0,0.0,0,0,1
fast_detection,adaptive,0,0.0,0,0,1
fast_detection,naive,1,107.15,1,1,172
fast_detection,adaptive,1,98.525,1,1,263
fast_detection,naive,2,154.9,1,1,186
fast_detection,adaptive,2,121.225,1,1,257
fast_detection,naive,3,135.025,1,1,128
fast_detection,adaptive,3,180.525,1,1,189
fast_detection,naive,4,161.35,1,1,178
fast_detection,adaptive,4,153.725,1,1,230
fast_detection,naive,5,3.4,0,0,1
fast_detection,adaptive,5,142.25,1,1,209
fast_detection,naive,6,147.47500000000002,1,1,180
fast_detection,adaptive,6,131.20000000000002,1,1,240
fast_detection,naive,7,114.97500000000001,1,1,212
fast_detection,adaptive,7,125.12500000000001,1,1,277
fast_detection,naive,8,121.97499999999998,1,1,126
fast_detection,adaptive,8,114.32500000000002,1,1,218
fast_detection,naive,9,127.72500000000002,1,1,159
fast_detection,adaptive,9,143.95000000000002,1,1,207
fast_detection,naive,10,0.0,0,0,2
fast_detection,adaptive,10,140.175,1,1,241
fast_detection,naive,11,110.925,1,1,183
fast_detection,adaptive,11,118.94999999999999,1,1,254
fast_detection,naive,12,133.7,1,1,205
fast_detection,adaptive,12,108.5,1,1,263
fast_detection,naive,13,108.6,1,1,203
fast_detection,adaptive,13,123.47500000000001,1,1,289
fast_detection,naive,14,130.525,1,1,133
fast_detection,adaptive,14,118.0,1,1,197
fast_detection,naive,15,0.0,0,0,1
fast_detection,adaptive,15,134.2,1,1,245
fast_detection,naive,16,135.725,1,1,179
fast_detection,adaptive,16,144.625,1,1,250
fast_detection,naive,17,150.375,1,1,174
fast_detection,adaptive,17,124.15,1,1,261
fast_detection,naive,18,114.35000000000001,1,1,154
fast_detection,adaptive,18,139.8,1,1,192
fast_detection,naive,19,2.6,0,0,6
fast_detection,adaptive,19,114.80000000000001,1,1,198
fast_detection,naive,20,0.0,0,0,1
fast_detection,adaptive,20,118.8,1,1,269
fast_detection,naive,21,111.62500000000001,1,1,194
fast_detection,adaptive,21,111.04999999999998,1,1,273
