facility,profile,portfolio,metric,n,mean,median,std,iqr,p90,p95,ci95_lo,ci95_hi
large_hospital,intermediate_capacity,detection_plus_backups,weighted_service_hours_lost,125,71.249,88.775,46.72921495,97.725,119.15,126.275,62.983495,78.9966
large_hospital,intermediate_capacity,detection_plus_backups,pct_compromised,125,0.4387249346,0.6201550388,0.2960454776,0.6425694232,0.6681198949,0.6783466312,0.3862776434,0.4903925733
large_hospital,intermediate_capacity,detection_plus_backups,catastrophic,125,0.696,1,0.4618336525,1,1,1,0.616,0.776
large_hospital,intermediate_capacity,detection_plus_backups,total_service_downtime_steps,125,369.848,462,241.7170452,500,619.2,647.6,327.0042,410.0244
large_hospital,intermediate_capacity,detection_plus_backups,backup_compromised,125,0,0,0,0,0,0,0,0
large_hospital,intermediate_capacity,detection_plus_backups,identity_compromised,125,0.696,1,0.4618336525,1,1,1,0.616,0.776
large_hospital,intermediate_capacity,detection_plus_backups,recovered_within_horizon,125,0.92,1,0.2723849269,0,1,1,0.872,0.9602
large_hospital,intermediate_capacity,detection_plus_backups,pct_clinical_capacity_lost,125,0.315125,0.3935355392,0.2059492888,0.4327512254,0.5239583333,0.5641237745,0.2786212623,0.3493351409
large_hospital,intermediate_capacity,detection_plus_backups,defensive_isolation_node_steps,125,2074.52,1997,440.7011935,627,2752,2838.8,2001.2856,2153.9406
large_hospital,intermediate_capacity,fast_detection,weighted_service_hours_lost,125,97.088,132.65,68.02001518,136.75,158.715,165.845,85.27941,108.640005
large_hospital,intermediate_capacity,fast_detection,pct_compromised,125,0.4436236464,0.6603970742,0.3272681531,0.6864865011,0.7159285279,0.7301171156,0.3854301597,0.4991372563
large_hospital,intermediate_capacity,fast_detection,catastrophic,125,0.656,1,0.4769526926,1,1,1,0.576,0.736
large_hospital,intermediate_capacity,fast_detection,total_service_downtime_steps,125,534.8,736,374.8877466,760,874.6,912.8,469.1186,598.4606
large_hospital,intermediate_capacity,fast_detection,backup_compromised,125,0.664,1,0.4742396291,1,1,1,0.584,0.744
large_hospital,intermediate_capacity,fast_detection,identity_compromised,125,0.664,1,0.4742396291,1,1,1,0.584,0.744
large_hospital,intermediate_capacity,fast_detection,recovered_within_horizon,125,0.936,1,0.2457378619,0,1,1,0.888,0.976
large_hospital,intermediate_capacity,fast_detection,pct_clinical_capacity_lost,125,0.3756580882,0.5088848039,0.2597972945,0.5194546569,0.6184436275,0.6372242647,0.3306651042,0.4195938113
large_hospital,intermediate_capacity,fast_detection,defensive_isolation_node_steps,125,1780.896,1478,624.9861395,1115,2726.8,2834,1673.9414,1890.0554
large_hospital,intermediate_capacity,full_defense,weighted_service_hours_lost,125,7.0828,4.8,7.582460273,7.8,13.33,16.635,5.807125,8.52151
large_hospital,intermediate_capacity,full_defense,pct_compromised,125,0.00253377376,0.001307189542,0.002435569428,0.001467646344,0.005382513662,0.006917816053,0.002149687078,0.002978680663
large_hospital,intermediate_capacity,full_defense,catastrophic,125,0.056,0,0.2308469679,0,0,0.8,0.016,0.096
large_hospital,intermediate_capacity,full_defense,total_service_downtime_steps,125,36.888,24,39.12968842,40,72,86.4,30.224,44.2884
large_hospital,intermediate_capacity,full_defense,backup_compromised,125,0,0,0,0,0,0,0,0
large_hospital,intermediate_capacity,full_defense,identity_compromised,125,0.072,0,0.2595281077,0,0,1,0.032,0.12
large_hospital,intermediate_capacity,full_defense,recovered_within_horizon,125,0.904,1,0.2957767249,0,1,1,0.848,0.952
large_hospital,intermediate_capacity,full_defense,pct_clinical_capacity_lost,125,0.03274877451,0.02450980392,0.03375222954,0.0318627451,0.06495098039,0.07549019608,0.02697169118,0.03898275123
large_hospital,intermediate_capacity,full_defense,defensive_isolation_node_steps,125,2539.832,2523,262.3268626,387,2887.6,2955.6,2495.1768,2583.302
large_hospital,intermediate_capacity,identity_controls,weighted_service_hours_lost,125,202.1744,222.975,63.45033844,32.925,239.745,242.28,190.546215,212.94857
large_hospital,intermediate_capacity,identity_controls,pct_compromised,125,0.7990052946,0.8747126437,0.2491763971,0.0232644312,0.8941160542,0.9029103235,0.7508782919,0.8409997008
large_hospital,intermediate_capacity,identity_controls,catastrophic,125,0.92,1,0.2723849269,0,1,1,0.8718,0.96
large_hospital,intermediate_capacity,identity_controls,total_service_downtime_steps,125,1079.264,1183,336.3776714,156,1267,1279.8,1017.0832,1135.7206
large_hospital,intermediate_capacity,identity_controls,backup_compromised,125,0.912,1,0.2844349237,0,1,1,0.856,0.96
large_hospital,intermediate_capacity,identity_controls,identity_compromised,125,0.912,1,0.2844349237,0,1,1,0.856,0.96
large_hospital,intermediate_capacity,identity_controls,recovered_within_horizon,125,0.24,0,0.4288017814,0,1,1,0.168,0.32
large_hospital,intermediate_capacity,identity_controls,pct_clinical_capacity_lost,125,0.7952683824,0.8779105392,0.2495051032,0.1343443628,0.9448223039,0.9564338235,0.7499929841,0.83802356
large_hospital,intermediate_capacity,identity_controls,defensive_isolation_node_steps,125,809.184,645,559.8025629,174,944.8,2501.2,716.5598,913.6662
large_hospital,intermediate_capacity,isolated_backups,weighted_service_hours_lost,125,167.012,176.425,52.69993043,44.2,213.66,214.975,157.90108,175.52528
large_hospital,intermediate_capacity,isolated_backups,pct_compromised,125,0.7691556316,0.8345473465,0.2277337512,0.022990232,0.8545759523,0.8629938005,0.7276661475,0.8038049755
large_hospital,intermediate_capacity,isolated_backups,catastrophic,125,0.92,1,0.2723849269,0,1,1,0.872,0.96
large_hospital,intermediate_capacity,isolated_backups,total_service_downtime_steps,125,859.56,911,268.9141667,221,1091.2,1101.6,812.4158,902.7382
large_hospital,intermediate_capacity,isolated_backups,backup_compromised,125,0,0,0,0,0,0,0,0
large_hospital,intermediate_capacity,isolated_backups,identity_compromised,125,0.92,1,0.2723849269,0,1,1,0.872,0.96
large_hospital,intermediate_capacity,isolated_backups,recovered_within_horizon,125,0.672,1,0.4713741066,1,1,1,0.592,0.752
large_hospital,intermediate_capacity,isolated_backups,pct_clinical_capacity_lost,125,0.7379436274,0.777879902,0.2331130651,0.1997549019,0.9431678921,0.9479166667,0.6973532169,0.775887837
large_hospital,intermediate_capacity,isolated_backups,defensive_isolation_node_steps,125,998.792,869,525.3474779,308,1262.8,2521,912.8666,1094.1618
large_hospital,intermediate_capacity,least_privilege,weighted_service_hours_lost,125,103.828,147.325,90.70442041,181.925,207.555,219.645,87.643555,119.945245
