condition,profile,n,architecture,shielded,kind,spread,hours,p_outage_k4,p_outage_k1,self_inflicted_steps,p_any_self_inflicted,shield_interventions,share_connected,share_disconnect,share_zone_lockdown,share_islands,share_micro_lockdown
q_clinical_today,intermediate_capacity,200,today,0,learned,0.33286390057909077,155.71462499999998,0.765,0.805,8.235,0.6,0.0,0.1842110381401259,0.24825118154648065,0.5675377803133934,0.0,0.0
q_clinical_today,high_capacity,200,today,0,learned,0.013369299539396456,14.806999999999999,0.035,0.215,0.935,0.1,0.0,0.3780868994577419,0.009221842296135116,0.612691258246123,0.0,0.0
q_clinical_today_shielded,resource_constrained,200,today,1,learned,0.820839572109289,322.2966666666666,0.96,0.97,0.0,0.0,0.525,0.09844620414776029,0.4993807122689411,0.4021730835832986,0.0,0.0
q_clinical_today_shielded,intermediate_capacity,200,today,1,learned,0.3419231680377588,155.71641666666667,0.765,0.8,0.0,0.0,0.77,0.25456441344291814,0.2420321111909897,0.5034034753660922,0.0,0.0
q_clinical_today_shielded,high_capacity,200,today,1,learned,0.013529555215338735,14.421666666666665,0.025,0.2,0.0,0.0,0.05,0.4045781093496356,0.007667599212516837,0.5877542914378475,0.0,0.0
q_clinical_replicas,resource_constrained,200,replicas,0,learned,0.5936782835295318,228.87375,0.795,0.81,19.47,0.71,0.0,0.2304456906729634,0.2224025974025974,0.004427390791027155,0.5427243211334121,0.0
q_clinical_replicas,intermediate_capacity,200,replicas,0,learned,0.06621757759643883,37.15175,0.235,0.35,17.92,0.515,0.0,0.6387822675072309,0.050899109032963456,0.036344321151355836,0.2739743023084498,0.0
q_clinical_replicas,high_capacity,200,replicas,0,learned,0.005263568399858587,10.8765,0.0,0.1,5.34,0.29,0.0,0.806244731605155,0.01397373840953134,0.039461906789603124,0.14031962319571054,0.0
q_clinical_replicas_shielded,resource_constrained,200,replicas,1,learned,0.6245515630961537,244.734,0.815,0.825,0.0,0.0,1.345,0.22925328403947604,0.23508134100581576,0.004569098401429685,0.5310962765532785,0.0
q_clinical_replicas_shielded,intermediate_capacity,200,replicas,1,learned,0.0959986198013513,48.85666666666666,0.305,0.355,0.0,0.0,0.945,0.6531668814184419,0.06728031664956369,0.05105434120070675,0.22849846073128766,0.0
q_clinical_replicas_shielded,high_capacity,200,replicas,1,learned,0.005385519619370782,10.417166666666667,0.005,0.035,0.0,0.0,0.335,0.8181455113735023,0.013292238235804827,0.043809689182149676,0.12475256120854315,0.0
