family,reference,treatment,profile,n,d_weighted_service_hours_lost,d_weighted_service_hours_lost_lo,d_weighted_service_hours_lost_hi,d_sustained_clinical_outage_k4,d_sustained_clinical_outage_k4_lo,d_sustained_clinical_outage_k4_hi,d_sustained_clinical_outage_k1,d_sustained_clinical_outage_k1_lo,d_sustained_clinical_outage_k1_hi,d_ever_compromised_fraction,d_ever_compromised_fraction_lo,d_ever_compromised_fraction_hi,share_worse_hours,share_better_hours
vs_passive,passive_replicas,q_containment_replicas_shielded,high_capacity,200,-5.692249999999999,-6.676764583333332,-4.769072916666666,-0.04,-0.07,-0.015,-0.18,-0.23,-0.13,-0.006673948853906962,-0.008596235625989716,-0.004799047834638878,0.0,0.72
vs_passive,passive_replicas,q_containment_replicas_shielded,intermediate_capacity,200,-123.25299999999999,-135.80691562500002,-110.82153750000002,-0.275,-0.34,-0.215,-0.25,-0.31,-0.19,-0.4432295374829046,-0.47948651159162065,-0.404687917659038,0.025,0.93
vs_passive,passive_replicas,q_containment_replicas_shielded,resource_constrained,200,-61.910041666666665,-73.54191458333332,-51.26983333333334,-0.06,-0.095,-0.03,-0.045,-0.075,-0.02,-0.2902151121145549,-0.3159662753130022,-0.2672297584905825,0.14,0.85
shield_effect,q_containment_replicas,q_containment_replicas_shielded,pooled,600,4.998277777777779,-3.049339236111115,12.855627430555558,0.39166666666666666,0.35833333333333334,0.425,-0.01,-0.055,0.03333333333333333,0.215265344517765,0.20287933382461937,0.22730718141872397,0.4083333333333333,0.5716666666666667
shield_effect,q_containment_replicas,q_containment_replicas_shielded,high_capacity,200,-124.98129166666666,-134.671621875,-115.51047812499998,-0.015,-0.035,0.005,-0.465,-0.535,-0.395,0.002947426817208371,0.0016771308450840433,0.004500267896649066,0.0,0.96
shield_effect,q_containment_replicas,q_containment_replicas_shielded,intermediate_capacity,200,-44.38162499999999,-58.501774999999995,-30.13541875000001,0.45,0.37,0.525,0.145,0.05,0.235,0.1361093418997018,0.11540181648379719,0.1576283976096101,0.32,0.67
shield_effect,q_containment_replicas,q_containment_replicas_shielded,resource_constrained,200,184.35775,167.2690635416667,200.44901979166667,0.74,0.68,0.8,0.29,0.22,0.36,0.5067392648363848,0.4762880833866171,0.5361182270335829,0.905,0.085
vs_passive,passive,q_soft_today,pooled,600,-26.30347222222222,-35.08014479166666,-17.116778125,-0.013333333333333334,-0.043333333333333335,0.016666666666666666,0.013333333333333334,-0.016666666666666666,0.045,-0.2542409394149307,-0.27454881914946544,-0.2341603234924895,0.645,0.355
vs_passive,passive,q_soft_today,high_capacity,200,24.85595833333333,15.745778125000001,35.536663541666655,0.145,0.095,0.195,0.175,0.12,0.235,-0.009008937182159308,-0.011440141273080318,-0.006850335870109231,0.965,0.035
vs_passive,passive,q_soft_today,intermediate_capacity,200,-72.676625,-91.83675624999998,-53.87707916666667,-0.145,-0.215,-0.08,-0.1,-0.165,-0.04,-0.47681012925070215,-0.5197775544304127,-0.435037827227639,0.41,0.59
